datetime,dB
2016-04-25 14:36:22,0.155
2016-04-25 14:36:28,0.226132813
2016-04-25 14:36:33,0.23
2016-04-25 14:36:38,0.256757813
2016-04-25 14:36:43,0.201601563
2016-04-25 14:36:48,0.2428125
2016-04-25 14:36:54,0.220039063
2016-04-25 14:36:59,0.236132813
2016-04-25 14:37:04,0.200351563
2016-04-25 14:37:09,0.233398438
2016-04-25 14:37:15,0.256875
2016-04-25 14:37:20,0.224648438
2016-04-25 14:37:25,0.223046875
2016-04-25 14:37:30,0.232539063
2016-04-25 14:37:35,0.260273438
2016-04-25 14:37:41,0.242265625
2016-04-25 14:37:46,0.236601563
